corrida,gen,best_gap,best_g6,n,evento,epoch
11,68,-0.1692795586,XA@ADP??A?BA?@?O?G?A?O???C?A???G??C?O???A??G????@??,25,gen,1783364513
11,69,-0.1692795586,XA@ADP??A?BA?@?O?G?A?O???C?A???G??C?O???A??G????@??,25,gen,1783364513
11,70,-0.1692795586,XA@ADP??A?BA?@?O?G?A?O???C?A???G??C?O???A??G????@??,25,gen,1783364513
11,71,-0.1692795586,XA@ADP??A?BA?@?O?G?A?O???C?A???G??C?O???A??G????@??,25,gen,1783364513
11,72,-0.1692795586,XA@ADP??A?BA?@?O?G?A?O???C?A???G??C?O???A??G????@??,25,gen,1783364513
11,73,-0.1308046467,YA@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G???O???@???,26,gen,1783364513
11,74,-0.1196235041,YA@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G???O??O????,26,gen,1783364513
11,75,-0.0632581466,ZA@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G???O???@??G????,27,gen,1783364513
11,76,-0.0632581466,ZA@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G???O???@??G????,27,gen,1783364513
11,77,-0.0632581466,ZA@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G???O???@??G????,27,gen,1783364513
11,78,-0.0632581466,ZA@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G???O???@??G????,27,gen,1783364513
11,79,-0.0632581466,ZA@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G???O???@??G????,27,gen,1783364513
11,80,-0.0632581466,ZA@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G???O???@??G????,27,gen,1783364513
11,81,-0.0632581466,ZA@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G???O???@??G????,27,gen,1783364513
11,82,-0.0632581466,ZA@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G???O???@??G????,27,gen,1783364513
11,83,-0.0632581466,ZA@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G???O???@??G????,27,gen,1783364513
11,84,-0.0632581466,ZA@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G???O???@??G????,27,gen,1783364513
11,85,-0.0632581466,ZA@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G???O???@??G????,27,gen,1783364513
11,86,-0.0309536435,[A@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G???O???@??G?????G??,28,gen,1783364513
11,87,-0.0309536435,[A@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G???O???@??G?????G??,28,gen,1783364513
11,88,-0.0309536435,[A@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G???O???@??G?????G??,28,gen,1783364513
11,89,-0.0309536435,[A@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G???O???@??G?????G??,28,gen,1783364513
11,90,-0.0309536435,[A@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G???O???@??G?????G??,28,gen,1783364513
11,91,-0.0309536435,[A@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G???O???@??G?????G??,28,gen,1783364513
